;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
09.07.2019;24;26;25;18;21;22;24;24;28;22;20;17;23;26;28;34;30;35;33;19;34;24;27;24
10.07.2019;17;20;22;18;19;26;25;16;23;21;20;20;22;20;28;27;25;20;16;23;15;29;16;20
11.07.2019;17;21;17;18;23;27;26;18;21;15;20;22;33;32;22;29;21;23;17;24;19;27;28;20
12.07.2019;26;20;27;22;20;28;22;21;18;16;26;24;31;26;33;31;26;28;16;23;28;18;23;27
13.07.2019;18;28;18;27;27;19;20;27;23;20;16;25;26;20;26;26;20;25;34;24;20;23;15;30
14.07.2019;22;23;19;26;18;28;19;20;23;21;27;24;26;25;33;26;27;23;16;15;24;23;22;22
15.07.2019;15;18;20;25;23;21;15;19;21;19;23;19;31;30;30;32;29;32;34;23;23;24;35;20
16.07.2019;28;18;27;28;16;20;17;18;16;23;22;26;30;26;30;21;20;25;22;15;27;29;22;25
17.07.2019;25;17;25;23;25;19;18;15;20;22;27;23;24;24;32;26;25;26;15;23;18;24;33;22
18.07.2019;17;26;16;28;18;24;17;20;27;24;15;26;33;24;23;20;26;35;20;17;31;15;33;18
19.07.2019;15;19;22;19;20;20;16;23;19;17;27;22;21;20;32;33;22;25;33;20;25;26;19;20
20.07.2019;23;16;22;23;17;26;23;18;19;16;21;16;21;24;21;24;30;27;27;32;16;18;31;29
21.07.2019;18;23;28;16;15;26;20;16;16;27;25;27;27;34;20;31;35;31;17;27;28;34;33;31
22.07.2019;17;21;17;24;26;28;24;27;28;27;28;26;32;23;30;32;23;20;29;29;34;16;34;23
23.07.2019;22;23;18;16;16;21;24;15;22;20;24;22;20;30;24;25;22;33;25;30;26;15;27;30
24.07.2019;26;18;25;28;24;20;20;24;22;17;17;15;33;24;26;33;28;31;31;34;24;16;22;21
25.07.2019;20;27;17;16;26;26;27;26;19;22;18;16;23;24;20;23;22;26;27;35;33;28;24;34
26.07.2019;17;23;24;15;17;23;28;27;16;20;24;26;31;29;22;22;22;30;18;24;15;18;26;20
27.07.2019;20;27;24;18;21;23;22;27;17;23;16;15;21;20;33;33;21;35;17;20;29;15;35;20
28.07.2019;24;21;26;26;17;26;18;27;26;27;24;16;22;26;22;26;29;22;24;29;31;19;25;24
29.07.2019;26;25;26;19;19;17;20;23;15;21;26;28;21;25;20;29;24;20;30;29;26;30;24;27
30.07.2019;26;18;16;21;28;28;19;27;19;21;17;20;34;24;31;35;23;32;23;30;15;30;33;30
31.07.2019;18;18;21;16;16;19;24;25;27;19;18;24;24;33;33;28;22;29;23;15;29;15;29;30
01.08.2019;25;20;24;15;22;18;15;22;19;17;21;17;23;34;23;25;34;34;32;16;29;16;33;17
02.08.2019;20;22;15;27;24;24;22;18;22;24;25;28;33;32;27;30;26;27;24;22;31;18;33;21
03.08.2019;18;26;17;15;20;21;16;27;15;28;16;18;35;30;23;21;26;32;21;29;24;29;32;34
04.08.2019;16;22;28;22;28;16;27;24;16;25;23;26;28;28;23;28;30;31;16;15;22;19;30;18
05.08.2019;16;21;20;18;24;17;26;24;22;22;19;17;24;31;22;33;31;35;16;29;32;35;35;22
06.08.2019;17;24;15;28;27;27;25;18;19;17;23;26;27;29;30;20;26;35;15;16;19;17;31;16
07.08.2019;24;20;22;22;24;25;18;27;27;16;27;16;35;27;23;30;32;31;24;24;24;23;29;20
08.08.2019;22;21;26;16;15;26;21;17;15;17;19;15;29;26;30;34;26;23;17;29;31;34;33;17
09.08.2019;15;15;24;25;15;28;28;19;17;20;26;20;20;29;34;34;31;21;31;16;34;33;21;26
10.08.2019;15;25;27;23;25;28;26;24;27;20;16;17;22;22;23;32;32;23;15;23;19;17;35;21
11.08.2019;28;28;22;26;20;16;17;20;28;16;22;23;31;28;31;30;35;20;21;24;23;34;28;21
12.08.2019;16;19;19;28;25;19;24;25;22;22;20;26;28;29;25;27;22;22;33;15;34;20;26;15
13.08.2019;22;17;23;25;28;16;22;23;20;17;22;19;20;23;25;23;29;20;35;30;18;34;29;17
14.08.2019;25;27;27;27;17;17;22;24;23;17;28;25;34;22;25;25;29;27;34;26;29;19;25;21
15.08.2019;25;15;24;21;28;28;28;28;28;16;18;16;31;32;29;21;24;20;23;25;31;25;17;22
16.08.2019;27;17;27;15;17;20;24;17;18;27;23;20;34;32;28;30;30;24;24;15;21;35;35;32
17.08.2019;17;21;18;18;19;19;18;26;28;16;23;22;35;20;20;25;24;25;31;30;28;16;21;24
18.08.2019;19;21;27;26;18;16;20;16;19;18;28;18;32;22;32;28;31;35;31;20;18;23;22;20
19.08.2019;18;18;19;22;17;15;20;18;23;24;26;23;28;31;22;23;24;23;28;25;34;26;31;33
20.08.2019;24;20;21;26;21;19;25;15;20;18;17;18;28;31;27;28;29;27;18;32;25;32;35;31
21.08.2019;18;16;20;21;25;24;22;25;20;21;22;19;28;24;30;21;31;34;22;25;26;29;17;25
22.08.2019;28;26;20;20;25;26;18;17;21;24;22;22;21;32;33;33;26;27;28;24;24;20;24;28
23.08.2019;26;25;18;18;24;27;22;18;15;22;16;26;27;34;28;33;32;22;20;32;25;30;33;25
24.08.2019;24;28;20;22;26;25;21;24;28;25;24;21;26;20;33;23;26;24;34;16;31;28;24;28
25.08.2019;19;23;16;21;26;23;25;28;24;18;20;22;29;22;31;26;26;23;21;26;28;33;25;34
26.08.2019;28;28;15;17;15;15;27;16;20;26;24;24;22;20;29;31;32;23;23;25;18;17;17;23
27.08.2019;20;28;17;20;27;27;16;28;19;27;20;15;34;20;28;30;27;22;23;31;22;29;23;20
28.08.2019;16;28;22;25;26;27;24;25;18;21;28;16;23;21;35;30;35;24;29;20;19;33;16;28
29.08.2019;24;15;20;22;17;28;23;21;18;20;24;16;32;26;24;22;21;29;22;16;25;32;35;20
30.08.2019;20;27;24;28;19;20;16;26;25;28;22;27;27;29;24;29;24;21;29;34;28;15;26;23
31.08.2019;18;26;18;25;26;28;17;28;16;27;18;19;22;25;35;25;21;22;25;30;34;28;24;27
